FID_,Max_1HR,Max_1HR_2,Max_1HR_72,Max_1TD,RH_Count,TD_Count,EV,DTW,TWI,Suscept_3
1,0.974713788978,0.0497372209512,0.0497372209512,0.45,4,0,3.35157757946,2289.10151569,7.39708943674,1
54,0.990649382273,0.0452912723025,0.0452912723025,0.45,4,0,2.95392172765,817.5995309010001,5.7072360379400005,1
109,1.04245258611,0.0495274939799,0.0495274939799,0.45,4,0,3.13220297879,843.4987150299999,6.57527741455,1
110,1.04082387891,0.0495592380135,0.0495592380135,0.45,4,0,3.09361964481,673.0580632830001,6.7455864881,1
127,0.941467333672,0.0499887579056,0.0499887579056,0.45,4,0,2.55568943877,1470.89217871,7.03835563564,1
157,1.07139828801,0.0487280907109,0.0487280907109,0.45,4,0,3.18350072031,1459.4981641899997,5.18491483688,1
331,0.936946663816,0.0499873006621999,0.0499873006621999,0.45,4,0,2.7754821991000003,1505.93111814,7.80771818722,1
392,1.03241501494,0.0499251606624,0.0499251606624,0.45,4,0,3.70760621685,2798.70866024,8.55076189346,1
429,0.908461741863,0.0499948597243,0.0499948597243,0.45,4,0,1.0568852498,1708.31229125,6.382959913220001,1
485,1.07206871254,0.0487015658457,0.0487015658457,0.45,4,0,3.2115860620700003,1483.92593889,7.04100554999,1
502,1.05603307027,0.0478931828044,0.0478931828044,0.45,4,0,2.53581686052,470.581007169,6.54163092126,1
607,1.08639077459,0.0491645027484,0.0491645027484,0.45,4,0,2.50344537307,169.255312677,6.16288236698,1
642,0.985338908131,0.0497558478708,0.0497558478708,0.45,4,0,3.39375004164,1529.34794635,7.74124931588,1
681,1.06371684538,0.0490968498505,0.0490968498505,0.45,4,0,3.4572016908200003,1182.1793780099997,6.21520844832,1
692,0.964676876863,0.0500010266279,0.0500010266279,0.45,4,0,3.48922351046,2426.21649296,8.5079816474,1
792,1.07408826811,0.0485247313453,0.0485247313453,0.45,4,0,3.38024106797,1307.45741386,5.33393769987,1
970,0.939249864069,0.049924673481,0.049924673481,0.45,4,0,3.39092408577,2317.12890768,8.57005126036,1
1004,0.938254207935,0.0499911675897,0.0499911675897,0.45,4,0,2.68218957895,1398.01065092,7.576771039930001,1
1014,0.918100178242,0.0425928384066,0.0425928384066,0.45,4,0,2.9726126641,1520.61035854,6.35863293012,1
1026,1.06844977254,0.0489650877813,0.0489650877813,0.45,4,0,3.51363349615,1211.1646152099995,5.57692019902,1
1049,1.09396375219,0.0490852734074,0.0490852734074,0.45,4,0,2.56864308143,223.757679041,5.528202490369999,1
1092,1.02717464368,0.049837692144,0.049837692144,0.45,4,0,2.98038909959,1190.7760709900003,5.06757541345,1
1111,1.11657820112,0.0492953334824999,0.0492953334824999,0.45,4,0,1.83986168929,135.132531551,5.47383454848,1
1288,1.09503911107,0.0510811053721999,0.0510811053721999,0.45,4,0,2.43246327285,274.309844115,5.16997524841,1
1415,1.03771014255,0.0502931447379,0.0502931447379,0.45,4,0,2.49226955251,359.325527765,7.01856303773,1
1422,1.03064708184,0.0502467567133,0.0502467567133,0.45,4,0,2.5066982493900003,363.836353279,7.53375752248,1
1423,1.03740671353,0.0502781672164,0.0502781672164,0.45,4,0,2.2930220946,315.384248171,8.26597091357,1
1633,1.057256165,0.050298824729,0.050298824729,0.45,4,0,3.3687999306400003,49.074436391800006,6.79490516215,1
1648,1.08453560921,0.0506565753174,0.0506565753174,0.45,4,0,3.47175044079,1447.29880849,4.40570508662,1
1938,1.09269108222,0.0493997901869,0.0493997901869,0.45,4,0,2.29332109016,435.352249624,6.66912314389,1
2169,1.1393621230500002,0.0503944194544,0.0503944194544,0.45,4,0,2.42048620902,482.662719458,6.35384980651,1
